product_id,product_name,main_category,sub_category,discounted_price,actual_price,discount_percentage,savings,rating,rating_count
B07JW9H4J1,Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compa...,Computers & Accessories,Accessories & Peripherals,399.0,1099.0,64,700.0,4.2,24269
B098NS6PVG,Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable for Smar...,Computers & Accessories,Accessories & Peripherals,199.0,349.0,43,150.0,4.0,43994
B096MSW6CT,Sounce Fast Phone Charging Cable & Data Sync USB Cable Compatible for iPhone...,Computers & Accessories,Accessories & Peripherals,199.0,1899.0,90,1700.0,3.9,7928
B08HDJ86NZ,"boAt Deuce USB 300 2 in 1 Type-C & Micro USB Stress Resistant, Tangle-Free, S...",Computers & Accessories,Accessories & Peripherals,329.0,699.0,53,370.0,4.2,94363
B08CF3B7N1,Portronics Konnect L 1.2M Fast Charging 3A 8 Pin USB Cable with Charge & Sync...,Computers & Accessories,Accessories & Peripherals,154.0,399.0,61,245.0,4.2,16905
B08Y1TFSP6,"pTron Solero TB301 3A Type-C Data and Fast Charging Cable, Made in India, 480...",Computers & Accessories,Accessories & Peripherals,149.0,1000.0,85,851.0,3.9,24871
B08WRWPM22,"boAt Micro USB 55 Tangle-free, Sturdy Micro USB Cable with 3A Fast Charging &...",Computers & Accessories,Accessories & Peripherals,176.63,499.0,65,322.37,4.1,15188
B08DDRGWTJ,MI Usb Type-C Cable Smartphone (Black),Computers & Accessories,Accessories & Peripherals,229.0,299.0,23,70.0,4.3,30411
B008IFXQFU,"TP-Link USB WiFi Adapter for PC(TL-WN725N), N150 Wireless Network Adapter for...",Computers & Accessories,Networking Devices,499.0,999.0,50,500.0,4.2,179691
B082LZGK39,Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Micro USB Cable for S...,Computers & Accessories,Accessories & Peripherals,199.0,299.0,33,100.0,4.0,43994
B08CF3D7QR,Portronics Konnect L POR-1081 Fast Charging 3A Type-C Cable 1.2Meter with Cha...,Computers & Accessories,Accessories & Peripherals,154.0,339.0,55,185.0,4.3,13391
B0789LZTCJ,boAt Rugged v3 Extra Tough Unbreakable Braided Micro USB Cable 1.5 Meter (Black),Computers & Accessories,Accessories & Peripherals,299.0,799.0,63,500.0,4.2,94363
B07KSMBL2H,"AmazonBasics Flexible Premium HDMI Cable (Black, 4K@60Hz, 18Gbps), 3-Foot",Electronics,"Home Theater,TV & Video",219.0,700.0,69,481.0,4.4,426973
B085DTN6R2,Portronics Konnect CL 20W POR-1067 Type-C to 8 Pin USB 1.2M Cable with Power...,Computers & Accessories,Accessories & Peripherals,350.0,899.0,61,549.0,4.2,2262
B09KLVMZ3B,Portronics Konnect L 1.2M POR-1401 Fast Charging 3A 8 Pin USB Cable with Char...,Computers & Accessories,Accessories & Peripherals,159.0,399.0,60,240.0,4.1,4768
B083342NKJ,MI Braided USB Type-C Cable for Charging Adapter (Red),Computers & Accessories,Accessories & Peripherals,349.0,399.0,13,50.0,4.4,18757
B0B6F7LX4C,MI 80 cm (32 inches) 5A Series HD Ready Smart Android LED TV L32M7-5AIN (Black),Electronics,"Home Theater,TV & Video",13999.0,24999.0,44,11000.0,4.2,32840
B082LSVT4B,Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C to Type C Cabl...,Computers & Accessories,Accessories & Peripherals,249.0,399.0,38,150.0,4.0,43994
B08WRBG3XW,"boAt Type C A325 Tangle-free, Sturdy Type C Cable with 3A Rapid Charging & 48...",Computers & Accessories,Accessories & Peripherals,199.0,499.0,60,300.0,4.1,13045
B08DPLCM6T,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Electronics,"Home Theater,TV & Video",13490.0,21990.0,39,8500.0,4.3,11976
B09C6HXFC1,Duracell USB Lightning Apple Certified (Mfi) Braided Sync & Charge Cable For...,Computers & Accessories,Accessories & Peripherals,970.0,1799.0,46,829.0,4.5,815
B085194JFL,"tizum HDMI to VGA Adapter Cable 1080P for Projector, Computer, Laptop, TV, Pr...",Electronics,"Home Theater,TV & Video",279.0,499.0,44,220.0,3.7,10962
B09F6S8BT6,Samsung 80 cm (32 Inches) Wondertainment Series HD Ready LED Smart TV UA32T43...,Electronics,"Home Theater,TV & Video",13490.0,22900.0,41,9410.0,4.3,16299
B09NHVCHS9,Flix Micro Usb Cable For Smartphone (Black),Computers & Accessories,Accessories & Peripherals,59.0,199.0,70,140.0,4.0,9378
B0B1YVCJ2Y,Acer 80 cm (32 inches) I Series HD Ready Android Smart LED TV AR32AR2841HDFL...,Electronics,"Home Theater,TV & Video",11499.0,19990.0,42,8491.0,4.3,4703
B01M4GGIVU,Tizum High Speed HDMI Cable with Ethernet | Supports 3D 4K | for All HDMI Dev...,Electronics,"Home Theater,TV & Video",199.0,699.0,72,500.0,4.2,12153
B08B42LWKN,OnePlus 80 cm (32 inches) Y Series HD Ready LED Smart Android TV 32Y1 (Black),Electronics,"Home Theater,TV & Video",14999.0,19999.0,25,5000.0,4.2,34899
B094JNXNPV,Ambrane Unbreakable 3 in 1 Fast Charging Braided Multipurpose Cable for Speak...,Computers & Accessories,Accessories & Peripherals,299.0,399.0,25,100.0,4.0,2766
B09W5XR9RT,Duracell USB C To Lightning Apple Certified (Mfi) Braided Sync & Charge Cable...,Computers & Accessories,Accessories & Peripherals,970.0,1999.0,51,1029.0,4.4,184
B077Z65HSD,"boAt A400 USB Type-C to USB-A 2.0 Male Data Cable, 2 Meter (Black)",Computers & Accessories,Accessories & Peripherals,299.0,999.0,70,700.0,4.3,20850
B00NH11PEY,AmazonBasics USB 2.0 - A-Male to A-Female Extension Cable for Personal Comput...,Computers & Accessories,Accessories & Peripherals,199.0,750.0,73,551.0,4.5,74976
B09CMM3VGK,Ambrane 60W / 3A Type C Fast Charging Unbreakable 1.5m L Shaped Braided Cable...,Computers & Accessories,Accessories & Peripherals,179.0,499.0,64,320.0,4.0,1934
B08QSC1XY8,Zoul USB C 60W Fast Charging 3A 6ft/2M Long Type C Nylon Braided Data Cable Q...,Computers & Accessories,Accessories & Peripherals,389.0,1099.0,65,710.0,4.3,974
B008FWZGSG,"Samsung Original Type C to C Cable - 3.28 Feet (1 Meter), White",Computers & Accessories,Accessories & Peripherals,599.0,599.0,0,0.0,4.3,355
B0B4HJNPV4,pTron Solero T351 3.5Amps Fast Charging Type-C to Type-C PD Data & Charging U...,Computers & Accessories,Accessories & Peripherals,199.0,999.0,80,800.0,3.9,1075
B08Y1SJVV5,"pTron Solero MB301 3A Micro USB Data & Charging Cable, Made in India, 480Mbps...",Computers & Accessories,Accessories & Peripherals,99.0,666.66,85,567.66,3.9,24871
B07XLCFSSN,"Amazonbasics Nylon Braided Usb-C To Lightning Cable, Fast Charging Mfi Certif...",Computers & Accessories,Accessories & Peripherals,899.0,1900.0,53,1001.0,4.4,13552
B09RZS1NQT,"Sounce 65W OnePlus Dash Warp Charge Cable, 6.5A Type-C to USB C PD Data Sync...",Computers & Accessories,Accessories & Peripherals,199.0,999.0,80,800.0,4.0,576
B0B3MMYHYW,OnePlus 126 cm (50 inches) Y Series 4K Ultra HD Smart Android LED TV 50Y1S Pr...,Electronics,"Home Theater,TV & Video",32999.0,45999.0,28,13000.0,4.2,7298
B09C6HWG18,"Duracell Type C To Type C 5A (100W) Braided Sync & Fast Charging Cable, 3.9 F...",Computers & Accessories,Accessories & Peripherals,970.0,1999.0,51,1029.0,4.2,462
B00NH11KIK,"AmazonBasics USB 2.0 Cable - A-Male to B-Male - for Personal Computer, Printe...",Computers & Accessories,Accessories & Peripherals,209.0,695.0,70,486.0,4.5,107687
B09JPC82QC,Mi 108 cm (43 inches) Full HD Android LED TV 4C | L43M6-INC (Black),Electronics,"Home Theater,TV & Video",19999.0,34999.0,43,15000.0,4.3,27151
B07JW1Y6XV,Wayona Nylon Braided 3A Lightning to USB A Syncing and Fast Charging Data Cab...,Computers & Accessories,Accessories & Peripherals,399.0,1099.0,64,700.0,4.2,24269
B07KRCW6LZ,TP-Link Nano AC600 USB Wi-Fi Adapter(Archer T2U Nano)- 2.4G/5G Dual Band Wire...,Computers & Accessories,Networking Devices,999.0,1599.0,38,600.0,4.3,12093
B09NJN8L25,"FLiX (Beetel USB to Micro USB PVC Data Sync & 2A Fast Charging Cable, Made in...",Computers & Accessories,Accessories & Peripherals,59.0,199.0,70,140.0,4.0,9378
B07XJYYH7L,Wecool Nylon Braided Multifunction Fast Charging Cable For Android Smartphone...,Computers & Accessories,Accessories & Peripherals,333.0,999.0,67,666.0,3.3,9792
B002PD61Y4,D-Link DWA-131 300 Mbps Wireless Nano USB Adapter (Black),Computers & Accessories,Networking Devices,507.0,1208.0,58,701.0,4.1,8131
B014I8SSD0,"Amazon Basics High-Speed HDMI Cable, 6 Feet - Supports Ethernet, 3D, 4K video...",Electronics,"Home Theater,TV & Video",309.0,475.0,35,166.0,4.4,426973
B09L8DSSFH,7SEVEN® Compatible for Samsung Smart 4K Ultra HD TV Monitor Remote Control Re...,Electronics,"Home Theater,TV & Video",399.0,999.0,60,600.0,3.6,493
B07232M876,"Amazonbasics Micro Usb Fast Charging Cable For Android Smartphone,Personal Co...",Computers & Accessories,Accessories & Peripherals,199.0,395.0,50,196.0,4.2,92595
B07P681N66,TP-Link AC600 600 Mbps WiFi Wireless Network USB Adapter for Desktop PC with...,Computers & Accessories,Networking Devices,1199.0,2199.0,45,1000.0,4.4,24780
B0711PVX6Z,AmazonBasics Micro USB Fast Charging Cable for Android Phones with Gold Plate...,Computers & Accessories,Accessories & Peripherals,179.0,500.0,64,321.0,4.2,92595
B082T6V3DT,"AmazonBasics New Release Nylon USB-A to Lightning Cable Cord, Fast Charging M...",Computers & Accessories,Accessories & Peripherals,799.0,2100.0,62,1301.0,4.3,8188
B07MKFNHKG,VW 80 cm (32 inches) Frameless Series HD Ready LED TV VW32A (Black),Electronics,"Home Theater,TV & Video",6999.0,12999.0,46,6000.0,4.2,4003
B0BFWGBX61,Ambrane Unbreakable 3A Fast Charging Braided Type C Cable    1.5 Meter (RCT15...,Computers & Accessories,Accessories & Peripherals,199.0,349.0,43,150.0,4.1,314
B01N90RZ4M,Tata Sky Universal Remote,Electronics,"Home Theater,TV & Video",230.0,499.0,54,269.0,3.7,2960
B0088TKTY2,TP-LINK WiFi Dongle 300 Mbps Mini Wireless Network USB Wi-Fi Adapter for PC D...,Computers & Accessories,Networking Devices,649.0,1399.0,54,750.0,4.2,179691
B09Q5SWVBJ,OnePlus 80 cm (32 inches) Y Series HD Ready Smart Android LED TV 32 Y1S (Black),Electronics,"Home Theater,TV & Video",15999.0,21999.0,27,6000.0,4.2,34899
B0B4DT8MKT,"Wecool Unbreakable 3 in 1 Charging Cable with 3A Speed, Fast Charging Multi P...",Computers & Accessories,Accessories & Peripherals,348.0,1499.0,77,1151.0,4.2,656
B08CDKQ8T6,"Portronics Konnect L 1.2Mtr, Fast Charging 3A Micro USB Cable with Charge & S...",Computers & Accessories,Accessories & Peripherals,154.0,349.0,56,195.0,4.3,7064
B07B275VN9,"Airtel DigitalTV DTH Television, Setup Box Remote Compatible for SD and HD Re...",Electronics,"Home Theater,TV & Video",179.0,799.0,78,620.0,3.7,2201
B0B15CPR37,Samsung 108 cm (43 inches) Crystal 4K Neo Series Ultra HD Smart LED TV UA43AU...,Electronics,"Home Theater,TV & Video",32990.0,47900.0,31,14910.0,4.3,7109
B0994GFWBH,Lapster 1.5 mtr USB 2.0 Type A Male to USB A Male Cable for computer and laptop,Computers & Accessories,Accessories & Peripherals,139.0,999.0,86,860.0,4.0,1313
B01GGKZ0V6,AmazonBasics USB Type-C to USB Type-C 2.0 Cable - 3 Feet Laptop (0.9 Meters)...,Computers & Accessories,Accessories & Peripherals,329.0,845.0,61,516.0,4.2,29746
B09F9YQQ7B,Redmi 80 cm (32 inches) Android 11 Series HD Ready Smart LED TV | L32M6-RA/L3...,Electronics,"Home Theater,TV & Video",13999.0,24999.0,44,11000.0,4.2,45238
B014I8SX4Y,"Amazon Basics High-Speed HDMI Cable, 6 Feet (2-Pack),Black",Electronics,"Home Theater,TV & Video",309.0,1400.0,78,1091.0,4.4,426973
B09Q8HMKZX,Portronics Konnect L 20W PD Quick Charge Type-C to 8-Pin USB Mobile Charging...,Computers & Accessories,Accessories & Peripherals,263.0,699.0,62,436.0,4.1,450
B0B9XN9S3W,Acer 80 cm (32 inches) N Series HD Ready TV AR32NSV53HD (Black),Electronics,"Home Theater,TV & Video",7999.0,14990.0,47,6991.0,4.3,457
B07966M8XH,Model-P4 6 Way Swivel Tilt Wall Mount 32-55-inch Full Motion Cantilever for L...,Electronics,"Home Theater,TV & Video",1599.0,2999.0,47,1400.0,4.2,2727
B01GGKYKQM,Amazon Basics USB Type-C to USB-A 2.0 Male Fast Charging Cable for Laptop - 3...,Computers & Accessories,Accessories & Peripherals,219.0,700.0,69,481.0,4.3,20053
B0B86CDHL1,oraimo 65W Type C to C Fast Charging Cable USB C to USB C Cable High Speed Sy...,Computers & Accessories,Accessories & Peripherals,349.0,899.0,61,550.0,4.5,149
B0B5ZF3NRK,"CEDO 65W OnePlus Dash Warp Charge Cable, USB A to Type C Data Sync Fast Charg...",Computers & Accessories,Accessories & Peripherals,349.0,599.0,42,250.0,4.1,210
B09RFC46VP,Redmi 108 cm (43 inches) 4K Ultra HD Android Smart LED TV X43 | L43R7-7AIN (B...,Electronics,"Home Theater,TV & Video",26999.0,42999.0,37,16000.0,4.2,45238
B08R69VDHT,"Pinnaclz Original Combo of 2 Micro USB Fast Charging Cable, USB Charging Cabl...",Computers & Accessories,Accessories & Peripherals,115.0,499.0,77,384.0,4.0,7732
B09RWZRCP1,"boAt Type C A750 Stress Resistant, Tangle-free, Sturdy Flat Cable with 6.5A F...",Computers & Accessories,Accessories & Peripherals,399.0,999.0,60,600.0,4.1,1780
B09CMP1SC8,"Ambrane 2 in 1 Type-C & Micro USB Cable with 60W / 3A Fast Charging, 480 mbps...",Computers & Accessories,Accessories & Peripherals,199.0,499.0,60,300.0,4.1,602
B09YLXYP7Y,"Ambrane 60W / 3A Fast Charging Output Cable with Type-C to USB for Mobile, Ne...",Computers & Accessories,Accessories & Peripherals,179.0,399.0,55,220.0,4.0,1423
B09ZPM4C2C,TCL 80 cm (32 inches) HD Ready Certified Android Smart LED TV 32S5205 (Black),Electronics,"Home Theater,TV & Video",10901.0,30990.0,65,20089.0,4.1,398
B0B2DJDCPX,SWAPKART Fast Charging Cable and Data Sync USB Cable Compatible for iPhone 6/...,Computers & Accessories,Accessories & Peripherals,209.0,499.0,58,290.0,3.9,536
B0BCZCQTJX,Firestick Remote,Electronics,"Home Theater,TV & Video",1434.0,3999.0,64,2565.0,4.0,32
B07LGT55SJ,"Wayona Usb Nylon Braided Data Sync And Charging Cable For Iphone, Ipad Tablet...",Computers & Accessories,Accessories & Peripherals,399.0,1099.0,64,700.0,4.2,24269
B09NKZXMWJ,"Flix (Beetel) Usb To Type C Pvc Data Sync And 2A 480Mbps Data Sync, Tough Fas...",Computers & Accessories,Accessories & Peripherals,139.0,249.0,44,110.0,4.0,9378
